banco_origem,dia,hora,dia_semana,valor,valor_acumulado_ate_hora,dias_desde_ultimo_batimento,faixa_batimento
COBwebRCBAUTOS,2026-03-06,8,6,10712.42,10712.42,105,basal
COBwebRCBAUTOS,2026-03-06,9,6,330.0,11042.42,105,basal
COBwebRCBAUTOS,2026-03-06,10,6,3465.0,14507.42,105,basal
COBwebRCBAUTOS,2026-03-06,11,6,358.29,14865.71,105,basal
COBwebRCBAUTOS,2026-03-06,12,6,6600.05,21465.76,105,basal
COBwebRCBAUTOS,2026-03-06,13,6,10500.0,31965.76,105,basal
COBwebRCBAUTOS,2026-03-06,14,6,1836.93,33802.69,105,basal
COBwebRCBAUTOS,2026-03-06,15,6,10828.89,44631.58,105,basal
COBwebRCBAUTOS,2026-03-06,16,6,405.78,45037.36,105,basal
COBwebRCBAUTOS,2026-03-06,17,6,7091.19,52128.55,105,basal
COBwebRCBAUTOS,2026-03-06,18,6,0.0,52128.55,105,basal
COBwebRCBAUTOS,2026-03-06,19,6,0.0,52128.55,105,basal
COBwebRCBAUTOS,2026-03-09,8,2,1500.06,1500.06,108,basal
COBwebRCBAUTOS,2026-03-09,9,2,4042.22,5542.28,108,basal
COBwebRCBAUTOS,2026-03-09,10,2,169.29,5711.57,108,basal
COBwebRCBAUTOS,2026-03-09,11,2,0.0,5711.57,108,basal
COBwebRCBAUTOS,2026-03-09,12,2,0.0,5711.57,108,basal
COBwebRCBAUTOS,2026-03-09,13,2,3642.03,9353.6,108,basal
COBwebRCBAUTOS,2026-03-09,14,2,16829.28,26182.88,108,basal
COBwebRCBAUTOS,2026-03-09,15,2,0.0,26182.88,108,basal
COBwebRCBAUTOS,2026-03-09,16,2,200.0,26382.88,108,basal
COBwebRCBAUTOS,2026-03-09,17,2,280.5,26663.38,108,basal
COBwebRCBAUTOS,2026-03-09,18,2,0.0,26663.38,108,basal
COBwebRCBAUTOS,2026-03-09,19,2,0.0,26663.38,108,basal
COBwebRCBAUTOS,2026-03-10,8,3,0.0,0.0,109,basal
COBwebRCBAUTOS,2026-03-10,9,3,220.0,220.0,109,basal
COBwebRCBAUTOS,2026-03-10,10,3,3113.3,3333.3,109,basal
COBwebRCBAUTOS,2026-03-10,11,3,16261.88,19595.18,109,basal
COBwebRCBAUTOS,2026-03-10,12,3,300.0,19895.18,109,basal
COBwebRCBAUTOS,2026-03-10,13,3,6532.16,26427.34,109,basal
COBwebRCBAUTOS,2026-03-10,14,3,15238.31,41665.65,109,basal
COBwebRCBAUTOS,2026-03-10,15,3,0.0,41665.65,109,basal
COBwebRCBAUTOS,2026-03-10,16,3,0.0,41665.65,109,basal
COBwebRCBAUTOS,2026-03-10,17,3,14303.31,55968.96,109,basal
COBwebRCBAUTOS,2026-03-10,18,3,0.0,55968.96,109,basal
COBwebRCBAUTOS,2026-03-10,19,3,0.0,55968.96,109,basal
COBwebRCBAUTOS,2026-03-11,8,4,372.75,372.75,110,basal
COBwebRCBAUTOS,2026-03-11,9,4,692.48,1065.23,110,basal
COBwebRCBAUTOS,2026-03-11,10,4,280.0,1345.23,110,basal
COBwebRCBAUTOS,2026-03-11,11,4,15754.0,17099.23,110,basal
COBwebRCBAUTOS,2026-03-11,12,4,12450.0,29549.23,110,basal
COBwebRCBAUTOS,2026-03-11,13,4,6689.57,36238.8,110,basal
COBwebRCBAUTOS,2026-03-11,14,4,2463.83,38702.63,110,basal
COBwebRCBAUTOS,2026-03-11,15,4,10585.32,49287.95,110,basal
COBwebRCBAUTOS,2026-03-11,16,4,5355.79,54643.74,110,basal
COBwebRCBAUTOS,2026-03-11,17,4,864.41,55508.15,110,basal
COBwebRCBAUTOS,2026-03-11,18,4,0.0,55508.15,110,basal
COBwebRCBAUTOS,2026-03-11,19,4,0.0,55508.15,110,basal
COBwebRCBAUTOS,2026-03-12,8,5,1010.51,1010.51,111,basal
COBwebRCBAUTOS,2026-03-12,9,5,550.0,1560.51,111,basal
COBwebRCBAUTOS,2026-03-12,10,5,184.0,1744.51,111,basal
COBwebRCBAUTOS,2026-03-12,11,5,396.85,2141.36,111,basal
COBwebRCBAUTOS,2026-03-12,12,5,0.0,2141.36,111,basal
COBwebRCBAUTOS,2026-03-12,13,5,1072.38,3213.74,111,basal
COBwebRCBAUTOS,2026-03-12,14,5,7197.77,10411.51,111,basal
COBwebRCBAUTOS,2026-03-12,15,5,4087.27,14498.78,111,basal
COBwebRCBAUTOS,2026-03-12,16,5,0.0,14498.78,111,basal
